,Rank,Country,Stability,Rights,Health,Safety,Climate,Costs,Popularity,TotalQuality of life
0,1,Australia,86,92,87,100,90,23,41,76
1,2,San Marino,81,82,91,87,62,61,47,74
2,3,Hong Kong,77,85,100,97,49,61,41,74
3,4,Switzerland,91,99,93,99,34,44,46,74
4,5,Macao,90,71,100,93,48,61,44,73
5,6,Malta,86,72,91,92,75,41,44,72
6,7,Luxembourg,93,99,85,100,25,46,42,71
7,8,Bermuda,89,78,96,93,68,34,35,71
8,9,Singapore,83,89,79,100,45,55,39,71
9,10,Spain,64,73,87,95,74,43,66,71
10,11,Japan,87,86,92,97,58,27,36,70

